,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
435,742830.0738873888,3398614.4964993354,742828.8406402941,3398610.665060355,1.1323498559117975,1.520898396515059,14.679924661532025,16.200823058047085,4.025024603408914
436,742830.9444710287,3398615.428408964,742829.3923648251,3398611.7816155003,1.1234818402517126,2.4090336673398167,13.299102567126075,15.708136234465892,3.9633491184181455
437,742831.7698179693,3398616.370944477,742829.9887032844,3398612.8910897872,1.1072625364668782,3.172369520707668,12.109388662895636,15.281758183603305,3.9091889419166357
438,742832.658971519,3398617.3186414484,742830.6159689355,3398613.991444955,1.0881473527050987,4.173859555925094,11.070236504889332,15.244096060814424,3.904368842823949
439,742833.5244820939,3398618.268593496,742831.3036770849,3398615.083500597,1.070071669116902,4.93197488805328,10.144816775368746,15.076791663422025,3.8828844514641463
440,742834.3995320925,3398619.222093013,742832.0858865576,3398616.4223937006,1.0671418641282502,5.352955661236048,7.8383162406460976,13.191271901882146,3.631979061322098
441,742835.3210966093,3398620.1785293976,742832.716854093,3398617.291498524,1.063062069711824,6.782079083872821,8.33494726423994,15.117026348112761,3.8880620298694772
442,742836.1994017266,3398621.1420463086,742833.6279328252,3398618.340271609,1.0481162725746784,6.612452310634962,7.8499414679159205,14.462393778550883,3.802945408305368
443,742837.1425338007,3398622.107054425,,,0.0,,,,
444,742838.0580172938,3398623.077739638,,,0.0,,,,
445,742838.982062266,3398624.0527767125,,,0.0,,,,
446,742839.9517640907,3398625.03117037,,,0.0,,,,
447,742840.8675171654,3398626.023479703,,,0.0,,,,
448,742841.8487073339,3398627.0189212114,,,0.0,,,,
449,742842.795589221,3398628.0233760094,,,0.0,,,,
450,742843.7481803086,3398629.0339519717,742840.8346106315,3398626.898392711,1.0206685428671665,8.488888263639799,4.56061335658163,13.04950162022143,3.6124093926659846
451,742844.745502493,3398630.0483543454,742841.6708732522,3398628.0503090904,1.0241291454001786,9.453344968294607,3.99218484088568,13.445529809180286,3.6668146679618654
452,742845.6984553065,3398631.0666095023,742842.4205465032,3398629.234440993,1.0187516818160345,10.744686122837122,3.3568414462960496,14.101527569133172,3.7552000704533937
453,742846.7140846091,3398632.0906463764,742843.1470206863,3398630.431991837,1.0142248542592727,12.72394502906315,2.7511348810066183,15.47507991006977,3.9338378093243462
454,742847.6981752594,3398633.118671091,742843.9806077133,3398631.5844622334,0.9870142737831903,13.820308459520867,2.353796818291411,16.174105277812277,4.021704275280851
455,742848.6870677732,3398634.150497809,742844.8399391657,3398632.726474458,0.9677146367144243,14.800398522253419,2.0278425046671766,16.828241026920594,4.1022239123334785
456,742849.7164317857,3398635.1869844785,742845.7178739802,3398633.8484857585,0.9414804457147727,15.98846452431966,1.7915788233557113,17.78004334767537,4.216638868539179
457,742850.7038677701,3398636.229910212,742846.5784412328,3398634.9989631404,0.9385174926225608,17.0191441151316,1.5152306932932913,18.53437480842489,4.305156769320356
458,742851.7488040682,3398637.282478154,742847.6149498391,3398636.409753397,0.9243435541143246,17.088750787610053,0.7616485015926515,17.850399289202706,4.224973288578604
459,742852.76507907,3398638.3361546174,742848.3140344496,3398637.3375281207,0.9234351200830436,19.811798212471064,0.9972548797971281,20.809053092268194,4.561694103320409
460,742853.7850387604,3398639.393685324,742849.1813640464,3398638.4802250625,0.9136793177769331,21.193820872211177,0.8344096496211928,22.02823052183237,4.693424178766753
461,742854.8437673616,3398640.4551660046,742850.0414852315,3398639.511223472,0.8645417558499469,23.06191365720142,0.891027504490683,23.952941161692102,4.8941742063081595
462,742855.8565847754,3398641.527489703,,,0.0,,,,
463,742856.9237154955,3398642.606284288,,,0.0,,,,
464,742857.963099505,3398643.690159688,,,0.0,,,,
465,742859.0068218118,3398644.779582913,,,0.0,,,,
466,742860.0865900507,3398645.875916416,,,0.0,,,,
467,742861.1229147944,3398646.976614309,,,0.0,,,,
468,742862.2104184387,3398648.0832215413,,,0.0,,,,
469,742863.2720085977,3398649.193788778,,,0.0,,,,
470,742864.3391383629,3398650.3071157862,,,0.0,,,,
471,742865.4412352521,3398651.424720124,742860.2094532353,3398650.4622432804,0.802789803223777,27.371543071416824,0.9263616742782904,28.297904745695114,5.3195774969160015
472,742866.5058447212,3398652.5409089406,742861.2672664912,3398651.568732152,0.7938632608039121,27.442701872104205,0.9451277078547049,28.38782957995891,5.3280230461174725
473,742867.6171501507,3398653.6618726836,742862.356210475,3398652.66157917,0.7814946379792126,27.677486271696548,1.0005871136702686,28.678073385366815,5.3551912557225085
474,742868.7054331393,3398654.785286293,742863.5646714916,3398653.8215281535,0.7651518950824655,26.427430318696445,0.9288297512701575,27.356260069966602,5.23032122053384
475,742869.7974471408,3398655.912477731,742864.610772544,3398654.7910673446,0.7577075656621809,26.90159337248667,1.2575612542126218,28.15915462669929,5.306520010958151
476,742870.9200345131,3398657.0467657195,742865.7846429466,3398655.815445257,0.7326804533874197,26.37224654182525,1.516150081753603,27.888396623578853,5.280946565113005
477,742872.0052909015,3398658.181604609,742867.2116634832,3398657.0346261207,0.7133251307078023,22.97886382590742,1.3155596523751192,24.29442347828254,4.928937357918291
478,742873.1478629508,3398659.329310143,742868.1850404731,3398657.8391833906,0.6931755212312092,24.629606944990606,2.2204777379040523,26.850084682894657,5.181706734551335
479,742874.2492887917,3398660.473554521,742869.5053094436,3398658.913063303,0.688138845065968,22.505340055223822,2.43513284072468,24.940472895948503,4.994043741893788
480,742875.3561098622,3398661.621020324,742870.7613651404,3398659.891948918,0.6762041575190068,21.111679058295817,2.989687927675859,24.101366985971676,4.909314309144575
481,742877.5918210009,3398663.9289776683,742873.4863158019,3398662.0590998097,0.6826487990305128,16.855172939469174,3.4964432059070587,20.351616145376234,4.511276553856595
482,742878.7304502499,3398665.0891211834,742874.5004782341,3398662.8339294647,0.687991490942955,17.892663253749504,5.085889688065198,22.9785529418147,4.793594991424985
483,742879.84771065,3398666.2506413385,742875.2426006163,3398663.426116808,0.6779518355947093,21.2070384220063,7.97793882438631,29.18497724639261,5.40231221296887
484,742880.9661500301,3398667.4152876064,,,0.0,,,,
485,742882.1098824423,3398668.584638254,,,0.0,,,,
486,742883.224418965,3398669.7520892643,,,0.0,,,,
487,742884.3721551922,3398670.9259730736,,,0.0,,,,
488,742885.504315033,3398672.0967671447,,,0.0,,,,
489,742886.640015194,3398673.2679255037,,,0.0,,,,
490,742887.7986823563,3398674.443012501,,,0.0,,,,
491,742888.9321608001,3398675.615670578,742885.4771406556,3398671.5954556842,0.6254302980131365,11.937164198661572,16.16212779277481,28.09929199143638,5.300876530484027
492,742890.0965652467,3398676.794632592,742887.0953868167,3398672.673278615,0.6181796583233063,9.007071968961922,16.985558602861392,25.992630571823312,5.098296830493818
493,742891.2461349908,3398677.9722520835,742888.4554334856,3398673.5634989473,0.6104901095541101,7.788014891473852,19.4371042157143,27.22511910718815,5.217769552901713
494,742892.3985865739,3398679.1517189853,742889.7867068428,3398674.4826601837,0.5925686227476666,6.821915729536683,21.800110092857235,28.62202582239392,5.349955684152339
495,742893.5718501367,3398680.335659856,742891.4045354445,3398675.5783077194,0.5953706358629945,4.697252975390005,22.63239935105272,27.329652326442723,5.227776996625116
496,742894.7216298734,3398681.517778551,742892.4404955142,3398676.3804895226,0.6179286766331533,5.20357396467402,26.39173856352558,31.5953125281996,5.620970781653255
497,742895.8984592292,3398682.705881114,742893.6355056337,3398677.5134969265,0.6683069204189144,5.120958975346215,26.96085355161547,32.081812526961684,5.664080907522568
498,742897.063805356,3398683.8924844754,742894.7878844202,3398678.7058754587,0.7099435635868063,5.179816105967477,26.900913092439268,32.08072919840674,5.663985275263941
499,742898.232828103,3398685.0803333567,742896.0258368361,3398679.796669917,0.7289566039939195,4.870810452282722,27.91709934258958,32.787909794872306,5.726072807332466
500,742899.418622255,3398686.2736754604,742897.1978845728,3398680.967967514,0.7342376280437151,4.931675853097691,28.15053681270132,33.08221266579901,5.7517138894245265
501,742900.5878213213,3398687.462587568,742898.4247141542,3398682.0681368806,0.7299773064072731,4.679032616422133,29.100098218117825,33.779130834539956,5.8119816615798054
502,742901.7775514793,3398688.658524253,742899.420856978,3398682.949909712,0.739744260809849,5.554008972187109,32.58827997488544,38.142288947072544,6.175944376941274
503,742902.9570362472,3398689.8554691775,742900.50177492,3398684.2465677513,0.7397130640776372,6.028308184892434,31.459775208784627,37.48808339367706,6.12275129281576
504,742904.1432315889,3398691.0586613077,,,0.0,,,,
505,742905.3418708073,3398692.2692117323,,,0.0,,,,
506,742906.5227531687,3398693.475383367,,,0.0,,,,
507,742907.719195986,3398694.688286419,,,0.0,,,,
508,742908.9087865772,3398695.9021711117,,,0.0,,,,
509,742910.0990835524,3398697.1193520483,,,0.0,,,,
510,742911.2989087752,3398698.3415525253,,,0.0,,,,
511,742912.4888444276,3398699.5697540184,,,0.0,,,,
512,742913.6934273103,3398700.8065775363,742910.8928573654,3398695.816194607,0.8010113137615811,7.843192016269335,24.903921781373764,32.7471137976431,5.722509396902997
513,742914.8949395672,3398702.0429701977,742911.9623902121,3398697.1619737134,0.8024418529893441,8.599845720014958,23.824126679841065,32.42397239985603,5.694205159621141
514,742916.0994470459,3398703.2821168215,742912.9542968535,3398698.0805945904,0.8072869920754475,9.891969732949851,27.05583352064822,36.947803253598074,6.0784704699124825
515,742917.3133372366,3398704.526796259,742914.2783630844,3398699.1476350348,0.8112443009359928,9.211068104657322,28.935375476311762,38.146443580969084,6.176280723944555
516,742918.5264725006,3398705.769315094,742915.9647281213,3398700.3443751815,0.8025619987804439,6.562534265107378,29.42997305688143,35.99250732198881,5.999375577673797
517,742919.7456098226,3398707.0188141405,742916.8189845111,3398701.4426232143,0.8169622730486922,8.56513571386026,31.093905244705695,39.65904095856595,6.297542453891514
518,742920.9677350982,3398708.269414019,742917.991457626,3398702.717515075,0.8246886527064894,8.858227591635336,30.82358188134558,39.681809472980916,6.2993499246335665
519,742922.1929026596,3398709.523647075,742919.1980377308,3398703.9563945816,0.8249087714332097,8.96921594226753,30.994300325975075,39.96351626824261,6.321670370103348
520,742923.4217913437,3398710.783078314,742920.6409312668,3398705.452669539,0.8261790803109429,7.733182767247655,28.413257706272645,36.1464404735203,6.012190987778108
521,742924.654463727,3398712.045927048,742921.8605465693,3398706.6988066165,0.8261816805813439,7.805973084019184,28.591696911290587,36.39766999530977,6.033048151250723
522,742925.8878477707,3398713.316772791,742923.0224340302,3398708.0074229226,0.840486807663447,8.210595904304203,28.189196025573807,36.399791929878006,6.033224007931249
523,742927.1289454312,3398714.5879997457,742923.9210838644,3398709.106822731,0.8450371249413682,10.29037583175058,30.04330146718156,40.333677298932145,6.350880041296021
524,742928.3754189541,3398715.863300067,742925.094729843,3398710.4208803754,0.8429329403943241,10.7629210436629,29.61993209817629,40.38285314183919,6.354750438989654
525,742929.6235212194,3398717.147496279,742926.3212904212,3398711.691758492,0.8361700749437158,10.904728244406884,29.76507479867959,40.669803043086475,6.377288063360983
526,742930.880351541,3398718.4276801185,742927.5830803447,3398712.9255445204,0.831884538668555,10.87199734171733,30.27349613988719,41.14549348160452,6.414475308363461
527,742932.1364338109,3398719.7182299406,742928.87274116,3398714.1510415482,0.8218754509749614,10.65168971982584,30.993586596398597,41.64527631622444,6.453315141555109
528,742933.3994900178,3398721.009299225,,,0.0,,,,
529,742934.6669052453,3398722.304005647,,,0.0,,,,
530,742935.9353954536,3398723.606433202,,,0.0,,,,
531,742937.2097127935,3398724.9117304394,,,0.0,,,,
532,742938.4896384376,3398726.239443958,,,0.0,,,,
533,742939.7703475022,3398727.5581615167,742937.0258818032,3398721.314375727,0.8175447305877444,7.53209197273352,38.98486098768572,46.51695296041924,6.8203337865839995
534,742941.051266401,3398728.881403846,742938.2240348707,3398722.702888303,0.8236288420416142,7.99323812545046,38.17405431793319,46.16729244338365,6.794651752914468
535,742942.329639033,3398730.214584084,742939.3429422643,3398724.1830078564,0.8334478967055426,8.920357587974742,36.37991179251467,45.30026938048941,6.730547479996662
536,742943.6193041992,3398731.5458245217,742940.7291047599,3398725.8979164283,0.8442921202085651,8.353252799318936,31.898865831580768,40.2521186308997,6.34445573953351
537,742944.9043027887,3398732.88798803,742941.9564268751,3398727.2155409474,0.8586722185279738,8.689972401875796,32.176655904745076,40.86662830662087,6.392701174513077
538,742946.2014508254,3398734.226836424,742943.1985489726,3398728.560004974,0.8697777704516798,9.017419537726134,32.1129786835159,41.13039822124203,6.4132985445277715
539,742947.5047341944,3398735.5687422776,742944.7988258267,3398730.1131001236,0.8601330381876853,7.321940094081124,29.76403131222486,37.08597140630598,6.089825236105383
540,742948.806979466,3398736.9210075703,742945.6346881463,3398731.3560768096,0.8813911632886722,10.063432217049609,30.968454372134243,41.031886589183856,6.4056136777973
