,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
69,743140.7411702597,3398940.009644814,,,0.0,,,,
70,743152.7171370307,3398953.000598915,743146.9513378711,3398941.6487989286,0.8636523748904865,33.24443994807542,128.8633629295329,162.10780287760832,12.732156254052505
71,743164.693074329,3398965.991568437,,,0.0,,,,
72,743175.6603937173,3398978.36809876,,,0.0,,,,
73,743186.6410739432,3398990.1533224233,743179.6463663408,3398981.3471186273,0.775377730157784,48.92593444342879,77.54922529778767,126.47515974121646,11.246117540787864
74,743196.6265318183,3399000.732782509,,,0.0,,,,
75,743205.6033859882,3399010.6977955196,,,0.0,,,,
76,743215.608888062,3399020.390296288,743209.1401134972,3399008.6259448486,0.7778055587768942,41.845044370165375,138.3999647849275,180.24500915509287,13.425535712033724
77,743224.5790131715,3399030.6509874836,,,0.0,,,,
78,743233.5625102287,3399040.3203675877,,,0.0,,,,
79,743241.5240227721,3399049.9666146724,743236.9015325073,3399036.481535727,0.856294361973401,21.367416248398122,181.8473541607117,203.2147704091098,14.255341820142714
80,743250.5074878061,3399059.636011199,,,0.0,,,,
81,743259.4775453545,3399069.8967362866,,,0.0,,,,
82,743268.4542811675,3399079.861810139,743263.4816617608,3399066.869540146,0.8656085860549776,24.726943763353585,168.79907956654847,193.52602332990205,13.911363101073238
83,743277.4309999932,3399089.826892685,,,0.0,,,,
84,743287.4229690717,3399100.1107901842,,,0.0,,,,
85,743296.3996527608,3399110.0758910514,743289.3771950133,3399097.0489555583,0.8509620522266205,49.31491281524512,169.70104834159397,219.0159611568391,14.799187854637129
86,743305.3897132743,3399119.449680581,,,0.0,,,,
87,743312.3626243444,3399127.5945407148,,,0.0,,,,
88,743319.3489192305,3399135.148086059,743311.8541369489,3399121.345418352,0.8445038668996931,56.1717614481935,190.51363582265998,246.68539727085349,15.706221610268125
89,743324.3247720062,3399141.177036046,743316.9295206523,3399127.9000453227,0.8216278243186897,54.68974258839212,176.2784826674049,230.968225255797,15.197638805281464
90,743329.3207119226,3399146.31900858,,,0.0,,,,
91,743332.2995199356,3399150.2320415424,743325.4332868434,3399135.8105833805,0.9068469023323672,47.14515687734336,207.97845551548065,255.12361239282401,15.972589407883245
92,743334.2831581014,3399152.9392840867,,,0.0,,,,
93,743335.2716278879,3399154.440735555,,,0.0,,,,
94,743335.2448366378,3399155.623375812,,,0.0,,,,
95,743335.2448366378,3399155.623375812,,,0.0,,,,
96,743335.2448366378,3399155.623375812,743330.4964072185,3399141.227815426,0.8919842144291341,22.547581949503762,207.2321588305713,229.77974078007506,15.158487417287883
97,743335.2448366378,3399155.623375812,,,0.0,,,,
98,743335.2448366378,3399155.623375812,,,0.0,,,,
99,743335.2448366378,3399155.623375812,743330.496793749,3399141.2416388015,0.8908430640261126,22.54391127299684,206.83435944072372,229.37827071372055,15.145239209524574
100,743335.2448366378,3399155.623375812,,,0.0,,,,
101,743335.2314410096,3399156.214695942,,,0.0,,,,
102,743336.2065146267,3399158.307467665,743331.8175452485,3399142.6825163527,1.425089032269833,19.26305220274775,244.13910351232187,263.4021557150696,16.22966899585662
103,743336.126140431,3399161.8553884686,,,0.0,,,,
104,743332.973195425,3399165.629515752,,,0.0,,,,
105,743327.7897333733,3399168.7660223576,,,0.0,,,,
106,743321.5843175037,3399171.879381223,,,0.0,,,,
107,743312.2996411377,3399175.5146156684,,,0.0,,,,
108,743301.9796215501,3399179.7180295796,,,0.0,,,,
109,743289.5956095848,3399184.7621386955,,,0.0,,,,
110,743276.1896552389,3399189.7831155183,,,0.0,,,,
111,743262.7636268545,3399195.691088273,,,0.0,,,,
112,743247.2937069577,3399201.5527904597,,,0.0,,,,
113,743231.8171104086,3399207.7101738327,,,0.0,,,,
114,743216.3338384408,3399214.163238347,,,0.0,,,,
115,743201.879232429,3399220.34380295,743204.1278939928,3399217.2033164883,2.5007169599116064,5.056478828727986,9.862655215342611,14.919134044070598,3.8625294877930183
116,743186.4093872809,3399226.205588527,,,0.0,,,,
117,743170.9328670945,3399232.3630552287,,,0.0,,,,
118,743154.4344165807,3399238.497408568,743158.6033339025,3399237.906405369,2.7845961035968005,17.379871636277986,0.34928478135582525,17.72915641763381,4.210600481835555
